Cantidad Material: 8709
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             | 7,226,638,763  COP| 1,466,348.000  ***|         0.000  ***|
|0000002222        |             0  COP|             0  UN |             0  UN |
|0000002233        |             0  COP|             0  UN |             0  UN |
|0000002255        |             0  COP|             0  UN |             0  UN |
|0000002266        |             0  COP|             0  UN |             0  UN |
|0000002277        |             0  COP|             0  UN |             0  UN |
|0000002288        |             0  COP|             0  UN |             0  UN |
|0000002299        |             0  COP|             0  UN |             0  UN |
|0000002303        |             0  COP|             0  UN |             0  UN |
|0000002314        |             0  COP|             0  UN |             0  UN |
|0000002325        |             0  COP|             0  UN |             0  UN |
|0000002336        |             0  COP|             0  UN |             0  UN |
|0000002347        |             0  COP|             0  UN |             0  UN |
|0000002358        |             0  COP|             0  UN |             0  UN |
|0000002369        |             0  COP|             0  UN |             0  UN |
|0000002370        |             0  COP|             0  UN |             0  UN |
|0000002381        |             0  COP|             0  UN |             0  UN |
|0000002392        |             0  COP|             0  UN |             0  UN |
|0000002406        |             0  COP|             0  UN |             0  UN |
|0000002417        |             0  COP|             0  UN |             0  UN |
|0000002428        |             0  COP|             0  UN |             0  UN |
|0000002439        |             0  COP|             0  UN |             0  UN |
|0000002440        |             0  COP|             0  UN |             0  UN |
|0000002451        |             0  COP|             0  UN |             0  UN |
|0000002462        |             0  COP|             0  UN |             0  UN |
|0000002473        |             0  COP|             0  UN |             0  UN |
|0000002484        |             0  COP|             0  UN |             0  UN |
|0000002495        |             0  COP|             0  UN |             0  UN |
|0000002509        |             0  COP|             0  UN |             0  UN |
|0000002510        |             0  COP|             0  UN |             0  UN |
|0000002521        |             0  COP|             0  UN |             0  UN |
|0000002532        |             0  COP|             0  UN |             0  UN |
|0000002554        |             0  COP|             0  UN |             0  UN |
|0000002565        |             0  COP|             0  UN |             0  UN |
|0000002576        |             0  COP|             0  UN |             0  UN |
|0000002587        |             0  COP|             0  UN |             0  UN |
|0000002598        |             0  COP|             0  UN |             0  UN |
|0000002602        |             0  COP|             0  UN |             0  UN |
|0000002613        |             0  COP|             0  UN |             0  UN |
|0000002624        |             0  COP|             0  UN |             0  UN |
|0000002635        |             0  COP|             0  UN |             0  UN |
|0000002646        |             0  COP|             0  UN |             0  UN |
|0000002668        |             0  COP|             0  UN |             0  UN |
|0000002679        |             0  COP|             0  UN |             0  UN |
|0000002705        |             0  COP|             0  UN |             0  UN |
|0000002716        |             0  COP|             0  UN |             0  UN |
|0000002727        |             0  COP|             0  UN |             0  UN |
|0000002738        |             0  COP|             0  UN |             0  UN |
|0000002749        |             0  COP|             0  UN |             0  UN |
|0000002772        |             0  COP|             0  UN |             0  UN |
|0000002783        |             0  COP|             0  UN |             0  UN |
|0000002794        |             0  COP|             0  UN |             0  UN |
|0000002808        |             0  COP|             0  UN |             0  UN |
|0000002819        |             0  COP|             0  UN |             0  UN |
|0000002820        |             0  COP|             0  UN |             0  UN |
|0000002831        |             0  COP|             0  UN |             0  UN |
|0000002842        |             0  COP|             0  UN |             0  UN |
|0000002853        |             0  COP|             0  UN |             0  UN |
|0000002864        |             0  COP|             0  UN |             0  UN |
|0000002875        |             0  COP|             0  UN |             0  UN |
|0000002886        |             0  COP|             0  UN |             0  UN |
|0000002923        |             0  COP|             0  UN |             0  UN |
|0000002934        |             0  COP|             0  UN |             0  UN |
|0000003056        |             0  COP|             0  UN |             0  UN |
|0000003067        |             0  COP|             0  UN |             0  UN |
|0000003137        |             0  COP|             0  UN |             0  UN |
|0000003241        |             0  COP|             0  UN |             0  UN |
|0000003263        |             0  COP|             0  UN |             0  UN |
|0000003838        |             0  COP|             0  UN |             0  UN |
|0000003850        |             0  COP|             0  UN |             0  UN |
|0000003861        |             0  COP|             0  UN |             0  UN |
|0000003872        |             0  COP|             0  UN |             0  UN |
|0000003964        |             0  COP|             0  UN |             0  UN |
|0000003986        |             0  COP|             0  UN |             0  UN |
|0000004385        |             0  COP|             0  UN |             0  UN |
|0000004400        |             0  COP|             0  UN |             0  UN |
|0000005256        |             0  COP|             0  UN |             0  UN |
|0000005337        |             0  COP|             0  UN |             0  UN |
|0000005348        |             0  COP|             0  UN |             0  UN |
|0000005898        |             0  COP|             0  UN |             0  UN |
|0000006530        |             0  COP|             0  UN |             0  UN |
|0000006585        |             0  COP|             0  UN |             0  UN |
|0000007146        |             0  COP|             0  UN |             0  UN |
|0000007179        |             0  COP|             0  UN |             0  UN |
|0000007180        |             0  COP|             0  UN |             0  UN |
|0000008006        |             0  COP|             0  UN |             0  UN |
|0000008040        |             0  COP|             0  UN |             0  UN |
|0000008545        |             0  COP|             0  UN |             0  UN |
|0000008556        |             0  COP|             0  UN |             0  UN |
|0000008567        |             0  COP|             0  UN |             0  UN |
|0000008578        |             0  COP|             0  UN |             0  UN |
|0000008590        |             0  COP|             0  UN |             0  UN |
|0000008626        |             0  COP|             0  UN |             0  UN |
|0000008637        |             0  COP|             0  UN |             0  UN |
|0000008648        |             0  COP|             0  UN |             0  UN |
|0000008659        |             0  COP|             0  UN |             0  UN |
|0000008660        |             0  COP|             0  UN |             0  UN |
|0000008671        |             0  COP|             0  UN |             0  UN |
|0000008682        |             0  COP|             0  UN |             0  UN |
|0000008693        |             0  COP|             0  UN |             0  UN |
|0000008707        |             0  COP|             0  UN |             0  UN |
|0000008752        |             0  COP|             0  UN |             0  UN |
|0000008774        |             0  COP|             0  UN |             0  UN |
|0000008785        |             0  COP|             0  UN |             0  UN |
|0000008796        |             0  COP|             0  UN |             0  UN |
|0000008800        |             0  COP|             0  UN |             0  UN |
|0000008811        |             0  COP|             0  UN |             0  UN |
|0000008822        |             0  COP|             0  UN |             0  UN |
|0000008844        |             0  COP|             0  UN |             0  UN |
|0000008855        |             0  COP|             0  UN |             0  UN |
|0000008866        |             0  COP|             0  UN |             0  UN |
|0000008877        |             0  COP|             0  UN |             0  UN |
|0000008914        |             0  COP|             0  UN |             0  UN |
|0000008925        |             0  COP|             0  UN |             0  UN |
|0000008936        |             0  COP|             0  UN |             0  UN |
|0000009003        |             0  COP|             0  UN |             0  UN |
|0000009036        |             0  COP|             0  UN |             0  UN |
|0000009047        |             0  COP|             0  UN |             0  UN |
|0000009058        |             0  COP|             0  UN |             0  UN |
|0000009069        |             0  COP|             0  UN |             0  UN |
|0000009070        |             0  COP|             0  UN |             0  UN |
|0000009081        |             0  COP|             0  UN |             0  UN |
|0000009324        |             0  COP|             0  UN |             0  UN |
|0000009335        |             0  COP|             0  UN |             0  UN |
|0000009346        |             0  COP|             0  UN |             0  UN |
|0000009771        |             0  COP|             0  UN |             0  UN |
|0000009793        |             0  COP|             0  UN |             0  UN |
|0000009807        |             0  COP|             0  UN |             0  UN |
|0000009818        |             0  COP|             0  UN |             0  UN |
|0000009863        |             0  COP|             0  UN |             0  UN |
|0000010032        |             0  COP|             0  UN |             0  UN |
|0000010065        |             0  COP|             0  UN |             0  UN |
|0000010076        |             0  COP|             0  UN |             0  UN |
|0000010098        |             0  COP|             0  UN |             0  UN |
|0000010113        |             0  COP|             0  UN |             0  UN |
|0000010124        |             0  COP|             0  UN |             0  UN |
|0000010146        |             0  COP|             0  UN |             0  UN |
|0000010157        |             0  COP|             0  UN |             0  UN |
|0000010168        |             0  COP|             0  UN |             0  UN |
|0000010205        |             0  COP|             0  UN |             0  UN |
|0000010227        |             0  COP|             0  UN |             0  UN |
|0000010238        |             0  COP|             0  UN |             0  UN |
|0000010249        |             0  COP|             0  UN |             0  UN |
|0000010250        |             0  COP|             0  UN |             0  UN |
|0000010261        |             0  COP|             0  UN |             0  UN |
|0000010272        |             0  COP|             0  UN |             0  UN |
|0000010607        |             0  COP|             0  UN |             0  UN |
|0000011073        |             0  COP|             0  UN |             0  UN |
|0000011095        |             0  COP|             0  UN |             0  UN |
|0000011165        |             0  COP|             0  UN |             0  UN |
|0000011246        |             0  COP|             0  UN |             0  UN |
|0000011257        |             0  COP|             0  UN |             0  UN |
|0000011268        |             0  COP|             0  UN |             0  UN |
|0000011279        |             0  COP|             0  UN |             0  UN |
|0000011305        |             0  COP|             0  UN |             0  UN |
|0000011338        |             0  COP|             0  UN |             0  UN |
|0000011349        |             0  COP|             0  UN |             0  UN |
|0000011383        |             0  COP|             0  UN |             0  UN |
|0000011394        |             0  COP|             0  UN |             0  UN |
